Date.27,year,month,day,country3 Industrial Production
2021-04-01,2021.0,4.0,1.0,60.23999999999999
2021-03-01,2021.0,3.0,1.0,66.56
2021-02-01,2021.0,2.0,1.0,38.92
2021-01-01,2021.0,1.0,1.0,70.62
2020-12-01,2020.0,12.0,1.0,53.58
2020-11-01,2020.0,11.0,1.0,48.48
2020-10-01,2020.0,10.0,1.0,45.88
2020-09-01,2020.0,9.0,1.0,56.38
2020-08-01,2020.0,8.0,1.0,41.2
2020-07-01,2020.0,7.0,1.0,39.0
2020-06-01,2020.0,6.0,1.0,47.38
2020-05-01,2020.0,5.0,1.0,36.42
2020-04-01,2020.0,4.0,1.0,41.52
2020-03-01,2020.0,3.0,1.0,56.73999999999999
2020-02-01,2020.0,2.0,1.0,75.46000000000001
2020-01-01,2020.0,1.0,1.0,29.92
2019-12-01,2019.0,12.0,1.0,45.58
2019-11-01,2019.0,11.0,1.0,36.96
2019-10-01,2019.0,10.0,1.0,27.86
2019-09-01,2019.0,9.0,1.0,31.74
2019-08-01,2019.0,8.0,1.0,38.06
2019-07-01,2019.0,7.0,1.0,41.1
2019-06-01,2019.0,6.0,1.0,31.52
2019-05-01,2019.0,5.0,1.0,27.84
2019-04-01,2019.0,4.0,1.0,34.8
2019-03-01,2019.0,3.0,1.0,13.96
2019-02-01,2019.0,2.0,1.0,28.12
2019-01-01,2019.0,1.0,1.0,30.48
2018-12-01,2018.0,12.0,1.0,30.88
2018-11-01,2018.0,11.0,1.0,38.18
2018-10-01,2018.0,10.0,1.0,50.56
2018-09-01,2018.0,9.0,1.0,36.32
2018-08-01,2018.0,8.0,1.0,35.22
2018-07-01,2018.0,7.0,1.0,42.36
2018-06-01,2018.0,6.0,1.0,33.04
2018-05-01,2018.0,5.0,1.0,47.72
2018-04-01,2018.0,4.0,1.0,49.64
2018-03-01,2018.0,3.0,1.0,44.72
2018-02-01,2018.0,2.0,1.0,23.54
2018-01-01,2018.0,1.0,1.0,51.76000000000001
2017-12-01,2017.0,12.0,1.0,41.34
2017-11-01,2017.0,11.0,1.0,36.22
2017-10-01,2017.0,10.0,1.0,38.34
2017-09-01,2017.0,9.0,1.0,43.26
2017-08-01,2017.0,8.0,1.0,44.38
2017-07-01,2017.0,7.0,1.0,37.54
2017-06-01,2017.0,6.0,1.0,43.52
2017-05-01,2017.0,5.0,1.0,39.6
2017-04-01,2017.0,4.0,1.0,34.92
2017-03-01,2017.0,3.0,1.0,50.1
2017-02-01,2017.0,2.0,1.0,66.8
2017-01-01,2017.0,1.0,1.0,45.54
2016-12-01,2016.0,12.0,1.0,53.02
2016-11-01,2016.0,11.0,1.0,62.62
2016-10-01,2016.0,10.0,1.0,46.76
2016-09-01,2016.0,9.0,1.0,49.16
2016-08-01,2016.0,8.0,1.0,50.56
2016-07-01,2016.0,7.0,1.0,34.74
2016-06-01,2016.0,6.0,1.0,36.16
2016-05-01,2016.0,5.0,1.0,33.14
2016-04-01,2016.0,4.0,1.0,21.74
2016-03-01,2016.0,3.0,1.0,24.08
2016-02-01,2016.0,2.0,1.0,17.46
2016-01-01,2016.0,1.0,1.0,15.32
2015-12-01,2015.0,12.0,1.0,18.62
2015-11-01,2015.0,11.0,1.0,17.54
2015-10-01,2015.0,10.0,1.0,18.9
2015-09-01,2015.0,9.0,1.0,21.48
2015-08-01,2015.0,8.0,1.0,19.5
2015-07-01,2015.0,7.0,1.0,27.26
2015-06-01,2015.0,6.0,1.0,33.42
2015-05-01,2015.0,5.0,1.0,32.48
2015-04-01,2015.0,4.0,1.0,39.26
2015-03-01,2015.0,3.0,1.0,48.62
2015-02-01,2015.0,2.0,1.0,39.58
2015-01-01,2015.0,1.0,1.0,55.04
