Date.16,year,month,day,USD/CUR3 (Price)
2021-03-28,2021.0,3.0,28.0,90.06
2021-03-21,2021.0,3.0,21.0,90.20400000000001
2021-03-14,2021.0,3.0,14.0,89.77199999999999
2021-03-07,2021.0,3.0,7.0,89.318
2021-02-28,2021.0,2.0,28.0,88.886
2021-02-21,2021.0,2.0,21.0,88.72999999999999
2021-02-14,2021.0,2.0,14.0,88.84
2021-02-07,2021.0,2.0,7.0,89.05
2021-01-31,2021.0,1.0,31.0,88.94800000000001
2021-01-24,2021.0,1.0,24.0,89.00200000000001
2021-01-17,2021.0,1.0,17.0,88.904
2021-01-10,2021.0,1.0,10.0,88.96000000000001
2021-01-03,2021.0,1.0,3.0,89.00399999999999
2020-12-27,2020.0,12.0,27.0,89.108
2020-12-20,2020.0,12.0,20.0,89.24600000000001
2020-12-13,2020.0,12.0,13.0,89.30799999999999
2020-12-06,2020.0,12.0,6.0,89.354
2020-11-29,2020.0,11.0,29.0,89.402
2020-11-22,2020.0,11.0,22.0,90.00800000000001
2020-11-15,2020.0,11.0,15.0,90.05
2020-11-08,2020.0,11.0,8.0,89.918
2020-11-01,2020.0,11.0,1.0,90.134
2020-10-25,2020.0,10.0,25.0,90.168
2020-10-18,2020.0,10.0,18.0,90.23599999999999
2020-10-11,2020.0,10.0,11.0,90.564
2020-10-04,2020.0,10.0,4.0,90.22399999999999
2020-09-27,2020.0,9.0,27.0,90.84
2020-09-20,2020.0,9.0,20.0,91.506
2020-09-13,2020.0,9.0,13.0,90.97
2020-09-06,2020.0,9.0,6.0,91.582
2020-08-30,2020.0,8.0,30.0,91.648
2020-08-23,2020.0,8.0,23.0,91.676
2020-08-16,2020.0,8.0,16.0,91.78399999999999
2020-08-09,2020.0,8.0,9.0,91.78399999999999
2020-08-02,2020.0,8.0,2.0,91.842
2020-07-26,2020.0,7.0,26.0,91.674
2020-07-19,2020.0,7.0,19.0,91.932
2020-07-12,2020.0,7.0,12.0,91.936
2020-07-05,2020.0,7.0,5.0,91.956
2020-06-28,2020.0,6.0,28.0,91.908
2020-06-21,2020.0,6.0,21.0,92.074
2020-06-14,2020.0,6.0,14.0,92.208
2020-06-07,2020.0,6.0,7.0,92.288
2020-05-31,2020.0,5.0,31.0,92.38
2020-05-24,2020.0,5.0,24.0,92.918
2020-05-17,2020.0,5.0,17.0,93.168
2020-05-10,2020.0,5.0,10.0,92.938
2020-05-03,2020.0,5.0,3.0,92.71000000000001
2020-04-26,2020.0,4.0,26.0,92.816
2020-04-19,2020.0,4.0,19.0,93.19
2020-04-12,2020.0,4.0,12.0,93.1
2020-04-05,2020.0,4.0,5.0,93.102
2020-03-29,2020.0,3.0,29.0,93.5
2020-03-22,2020.0,3.0,22.0,93.392
2020-03-15,2020.0,3.0,15.0,93.56
