Date.12,year,month,day,"Fe 62%, CFR "
2018-09-21,2018.0,9.0,21.0,171.3
2018-09-14,2018.0,9.0,14.0,168.72
2018-09-07,2018.0,9.0,7.0,167.54
2018-08-31,2018.0,8.0,31.0,165.52
2018-08-24,2018.0,8.0,24.0,166.8
2018-08-17,2018.0,8.0,17.0,168.16
2018-08-10,2018.0,8.0,10.0,171.52
2018-08-03,2018.0,8.0,3.0,167.68
2018-07-27,2018.0,7.0,27.0,165.46
2018-07-20,2018.0,7.0,20.0,162.7
2018-07-13,2018.0,7.0,13.0,160.7
2018-07-06,2018.0,7.0,6.0,161.1
2018-06-29,2018.0,6.0,29.0,163.46
2018-06-22,2018.0,6.0,22.0,165.26
2018-06-15,2018.0,6.0,15.0,167.74
2018-06-08,2018.0,6.0,8.0,166.06
2018-06-01,2018.0,6.0,1.0,163.58
2018-05-25,2018.0,5.0,25.0,162.66
2018-05-18,2018.0,5.0,18.0,168.46
2018-05-11,2018.0,5.0,11.0,166.9
2018-05-04,2018.0,5.0,4.0,165.78
2018-04-27,2018.0,4.0,27.0,166.3
2018-04-20,2018.0,4.0,20.0,164.94
2018-04-13,2018.0,4.0,13.0,162.38
2018-04-06,2018.0,4.0,6.0,161.1
2018-03-30,2018.0,3.0,30.0,161.8
2018-03-23,2018.0,3.0,23.0,166.36
2018-03-16,2018.0,3.0,16.0,174.32
2018-03-09,2018.0,3.0,9.0,181.9
2018-03-02,2018.0,3.0,2.0,190.94
2018-02-23,2018.0,2.0,23.0,189.92
2018-02-16,2018.0,2.0,16.0,188.22
2018-02-09,2018.0,2.0,9.0,186.04
2018-02-02,2018.0,2.0,2.0,180.0
2018-01-26,2018.0,1.0,26.0,182.94
2018-01-19,2018.0,1.0,19.0,184.38
2018-01-12,2018.0,1.0,12.0,189.66
2018-01-05,2018.0,1.0,5.0,184.52
2017-12-29,2017.0,12.0,29.0,179.96
2017-12-22,2017.0,12.0,22.0,181.04
2017-12-15,2017.0,12.0,15.0,173.82
2017-12-08,2017.0,12.0,8.0,172.54
2017-12-01,2017.0,12.0,1.0,169.48
2017-11-24,2017.0,11.0,24.0,163.7
2017-11-17,2017.0,11.0,17.0,157.56
2017-11-10,2017.0,11.0,10.0,158.28
2017-11-03,2017.0,11.0,3.0,151.52
2017-10-27,2017.0,10.0,27.0,156.28
2017-10-20,2017.0,10.0,20.0,157.5
2017-10-13,2017.0,10.0,13.0,155.38
2017-10-06,2017.0,10.0,6.0,156.94
2017-09-29,2017.0,9.0,29.0,159.84
2017-09-22,2017.0,9.0,22.0,168.96
2017-09-15,2017.0,9.0,15.0,182.42
2017-09-08,2017.0,9.0,8.0,186.22
2017-09-01,2017.0,9.0,1.0,187.26
2017-08-25,2017.0,8.0,25.0,190.18
2017-08-18,2017.0,8.0,18.0,182.88
2017-08-11,2017.0,8.0,11.0,184.76
2017-08-04,2017.0,8.0,4.0,179.64
2017-07-28,2017.0,7.0,28.0,171.68
2017-07-21,2017.0,7.0,21.0,169.44
2017-07-14,2017.0,7.0,14.0,163.06
2017-07-07,2017.0,7.0,7.0,159.22
2017-06-30,2017.0,6.0,30.0,158.84
2017-06-23,2017.0,6.0,23.0,146.14
2017-06-16,2017.0,6.0,16.0,142.46
2017-06-09,2017.0,6.0,9.0,143.86
2017-06-02,2017.0,6.0,2.0,148.12
2017-05-26,2017.0,5.0,26.0,154.54
2017-05-19,2017.0,5.0,19.0,156.38
2017-05-12,2017.0,5.0,12.0,154.34
2017-05-05,2017.0,5.0,5.0,165.16
2017-04-28,2017.0,4.0,28.0,166.78
2017-04-21,2017.0,4.0,21.0,164.06
2017-04-14,2017.0,4.0,14.0,175.9
2017-04-07,2017.0,4.0,7.0,191.68
2017-03-31,2017.0,3.0,31.0,196.2
2017-03-24,2017.0,3.0,24.0,207.2
2017-03-17,2017.0,3.0,17.0,213.92
2017-03-10,2017.0,3.0,10.0,209.1
2017-03-03,2017.0,3.0,3.0,216.42
2017-02-24,2017.0,2.0,24.0,218.34
2017-02-17,2017.0,2.0,17.0,215.16
2017-02-10,2017.0,2.0,10.0,200.16
2017-02-03,2017.0,2.0,3.0,199.1
2017-01-27,2017.0,1.0,27.0,198.2
2017-01-20,2017.0,1.0,20.0,196.46
2017-01-13,2017.0,1.0,13.0,192.64
2017-01-06,2017.0,1.0,6.0,188.18
2016-12-30,2016.0,12.0,30.0,192.7
2016-12-23,2016.0,12.0,23.0,190.72
2016-12-16,2016.0,12.0,16.0,196.66
2016-12-09,2016.0,12.0,9.0,194.62
2016-12-02,2016.0,12.0,2.0,187.54
2016-11-25,2016.0,11.0,25.0,184.06
2016-11-18,2016.0,11.0,18.0,180.68
2016-11-11,2016.0,11.0,11.0,177.26
2016-11-04,2016.0,11.0,4.0,163.2
2016-10-28,2016.0,10.0,28.0,157.52
2016-10-21,2016.0,10.0,21.0,150.1
2016-10-14,2016.0,10.0,14.0,146.48
2016-10-07,2016.0,10.0,7.0,144.72
2016-09-30,2016.0,9.0,30.0,145.96
