Date.17,year,month,day,Price.1
2021-03-28,2021.0,3.0,28.0,15375.82
2021-03-21,2021.0,3.0,21.0,15003.82
2021-03-14,2021.0,3.0,14.0,14742.18
2021-03-07,2021.0,3.0,7.0,14559.7
2021-02-28,2021.0,2.0,28.0,14239.56
2021-02-21,2021.0,2.0,21.0,14423.82
2021-02-14,2021.0,2.0,14.0,14203.2
2021-02-07,2021.0,2.0,7.0,13698.0
2021-01-31,2021.0,1.0,31.0,13698.0
2021-01-24,2021.0,1.0,24.0,13314.56
2021-01-17,2021.0,1.0,17.0,13810.08
2021-01-10,2021.0,1.0,10.0,13793.9
2021-01-03,2021.0,1.0,3.0,13934.44
2020-12-27,2020.0,12.0,27.0,13803.4
2020-12-20,2020.0,12.0,20.0,13479.66
2020-12-13,2020.0,12.0,13.0,13415.18
2020-12-06,2020.0,12.0,6.0,13300.94
2020-11-29,2020.0,11.0,29.0,13290.08
2020-11-22,2020.0,11.0,22.0,12975.64
2020-11-15,2020.0,11.0,15.0,12641.26
2020-11-08,2020.0,11.0,8.0,12417.16
2020-11-01,2020.0,11.0,1.0,12231.28
2020-10-25,2020.0,10.0,25.0,11970.3
2020-10-18,2020.0,10.0,18.0,12205.62
2020-10-11,2020.0,10.0,11.0,12012.38
2020-10-04,2020.0,10.0,4.0,12061.96
2020-09-27,2020.0,9.0,27.0,11834.86
2020-09-20,2020.0,9.0,20.0,11565.44
2020-09-13,2020.0,9.0,13.0,12311.48
2020-09-06,2020.0,9.0,6.0,12127.28
2020-08-30,2020.0,8.0,30.0,12284.44
2020-08-23,2020.0,8.0,23.0,12296.08
2020-08-16,2020.0,8.0,16.0,12142.92
2020-08-09,2020.0,8.0,9.0,12350.04
2020-08-02,2020.0,8.0,2.0,12219.52
2020-07-26,2020.0,7.0,26.0,12006.74
2020-07-19,2020.0,7.0,19.0,11869.92
2020-07-12,2020.0,7.0,12.0,11787.04
2020-07-05,2020.0,7.0,5.0,11796.12
2020-06-28,2020.0,6.0,28.0,11811.14
2020-06-21,2020.0,6.0,21.0,11516.02
2020-06-14,2020.0,6.0,14.0,11505.92
2020-06-07,2020.0,6.0,7.0,11356.58
2020-05-31,2020.0,5.0,31.0,11563.36
2020-05-24,2020.0,5.0,24.0,11033.08
2020-05-17,2020.0,5.0,17.0,10858.46
2020-05-10,2020.0,5.0,10.0,10738.64
2020-05-03,2020.0,5.0,3.0,10890.88
2020-04-26,2020.0,4.0,26.0,10961.1
2020-04-19,2020.0,4.0,19.0,10303.66
2020-04-12,2020.0,4.0,12.0,10385.94
2020-04-05,2020.0,4.0,5.0,9973.72
2020-03-29,2020.0,3.0,29.0,9438.86
2020-03-22,2020.0,3.0,22.0,9335.28
2020-03-15,2020.0,3.0,15.0,8749.24
2020-03-08,2020.0,3.0,8.0,9844.72
2020-03-01,2020.0,3.0,1.0,11435.26
2020-02-23,2020.0,2.0,23.0,11287.86
2020-02-16,2020.0,2.0,16.0,11784.32
2020-02-09,2020.0,2.0,9.0,11849.68
2020-02-02,2020.0,2.0,2.0,11566.16
2020-01-26,2020.0,1.0,26.0,11489.72
2020-01-19,2020.0,1.0,19.0,12368.42
2020-01-12,2020.0,1.0,12.0,12308.14
2020-01-05,2020.0,1.0,5.0,12090.8
2019-12-29,2019.0,12.0,29.0,12314.02
2019-12-22,2019.0,12.0,22.0,12227.38
2019-12-15,2019.0,12.0,15.0,12181.9
2019-12-08,2019.0,12.0,8.0,12000.88
2019-12-01,2019.0,12.0,1.0,11974.24
2019-11-24,2019.0,11.0,24.0,11915.42
2019-11-17,2019.0,11.0,17.0,11933.08
2019-11-10,2019.0,11.0,10.0,11903.6
2019-11-03,2019.0,11.0,3.0,11952.54
2019-10-27,2019.0,10.0,27.0,11992.42
2019-10-20,2019.0,10.0,20.0,11973.44
2019-10-13,2019.0,10.0,13.0,11815.54
2019-10-06,2019.0,10.0,6.0,11504.46
2019-09-29,2019.0,9.0,29.0,11604.1
2019-09-22,2019.0,9.0,22.0,11459.4
2019-09-15,2019.0,9.0,15.0,11714.16
2019-09-08,2019.0,9.0,8.0,11660.56
2019-09-01,2019.0,9.0,1.0,11577.82
2019-08-25,2019.0,8.0,25.0,11294.58
2019-08-18,2019.0,8.0,18.0,11377.26
2019-08-11,2019.0,8.0,11.0,11229.0
2019-08-04,2019.0,8.0,4.0,11132.3
2019-07-28,2019.0,7.0,28.0,11127.92
2019-07-21,2019.0,7.0,21.0,11551.0
2019-07-14,2019.0,7.0,14.0,11400.22
2019-07-07,2019.0,7.0,7.0,11309.58
2019-06-30,2019.0,6.0,30.0,11243.12
2019-06-23,2019.0,6.0,23.0,11068.32
2019-06-16,2019.0,6.0,16.0,11020.22
2019-06-09,2019.0,6.0,9.0,10707.88
2019-06-02,2019.0,6.0,2.0,10544.12
2019-05-26,2019.0,5.0,26.0,10620.96
2019-05-19,2019.0,5.0,19.0,10401.96
2019-05-12,2019.0,5.0,12.0,10455.38
2019-05-05,2019.0,5.0,5.0,10769.84
2019-04-28,2019.0,4.0,28.0,11254.88
2019-04-21,2019.0,4.0,21.0,11164.16
2019-04-14,2019.0,4.0,14.0,11228.56
2019-04-07,2019.0,4.0,7.0,11042.68
2019-03-31,2019.0,3.0,31.0,10909.84
2019-03-24,2019.0,3.0,24.0,10772.18
2019-03-17,2019.0,3.0,17.0,10740.14
2019-03-10,2019.0,3.0,10.0,10536.54
2019-03-03,2019.0,3.0,3.0,10329.52
2019-02-24,2019.0,2.0,24.0,10385.02
2019-02-17,2019.0,2.0,17.0,10285.26
2019-02-10,2019.0,2.0,10.0,10134.14
2019-02-03,2019.0,2.0,3.0,9942.5
2019-01-27,2019.0,1.0,27.0,9942.5
2019-01-20,2019.0,1.0,20.0,9923.88
2019-01-13,2019.0,1.0,13.0,9819.74
2019-01-06,2019.0,1.0,6.0,9676.28
2018-12-30,2018.0,12.0,30.0,9446.04
2018-12-23,2018.0,12.0,23.0,9520.66
2018-12-16,2018.0,12.0,16.0,9558.42
2018-12-09,2018.0,12.0,9.0,9745.76
2018-12-02,2018.0,12.0,2.0,9835.8
2018-11-25,2018.0,11.0,25.0,9914.86
2018-11-18,2018.0,11.0,18.0,9519.94
2018-11-11,2018.0,11.0,11.0,9647.16
