Date.10,year,month,day,target
2019-05-31,2019.0,5.0,31.0,953.0
2019-05-24,2019.0,5.0,24.0,953.0
2019-05-17,2019.0,5.0,17.0,943.0
2019-05-10,2019.0,5.0,10.0,943.0
2019-05-03,2019.0,5.0,3.0,948.0
2019-04-26,2019.0,4.0,26.0,948.0
2019-04-19,2019.0,4.0,19.0,963.0
2019-04-12,2019.0,4.0,12.0,983.0
2019-04-05,2019.0,4.0,5.0,993.0
2019-03-29,2019.0,3.0,29.0,1003.0
2019-03-22,2019.0,3.0,22.0,1013.0
2019-03-15,2019.0,3.0,15.0,1003.0
2019-03-08,2019.0,3.0,8.0,1003.0
2019-03-01,2019.0,3.0,1.0,993.0
2019-02-22,2019.0,2.0,22.0,993.0
2019-02-15,2019.0,2.0,15.0,993.0
2019-02-08,2019.0,2.0,8.0,983.0
2019-02-01,2019.0,2.0,1.0,963.0
2019-01-25,2019.0,1.0,25.0,933.0
2019-01-18,2019.0,1.0,18.0,923.0
2019-01-11,2019.0,1.0,11.0,923.0
2019-01-04,2019.0,1.0,4.0,933.0
2018-12-21,2018.0,12.0,21.0,943.0
2018-12-14,2018.0,12.0,14.0,958.0
2018-12-07,2018.0,12.0,7.0,963.0
2018-11-30,2018.0,11.0,30.0,943.0
2018-11-23,2018.0,11.0,23.0,998.0
2018-11-16,2018.0,11.0,16.0,1018.0
2018-11-09,2018.0,11.0,9.0,1033.0
2018-11-02,2018.0,11.0,2.0,1033.0
2018-10-26,2018.0,10.0,26.0,1038.0
2018-10-19,2018.0,10.0,19.0,1043.0
2018-10-12,2018.0,10.0,12.0,1048.0
2018-10-05,2018.0,10.0,5.0,1058.0
2018-09-28,2018.0,9.0,28.0,1083.0
2018-09-21,2018.0,9.0,21.0,1083.0
2018-09-14,2018.0,9.0,14.0,1083.0
2018-09-07,2018.0,9.0,7.0,1073.0
2018-08-31,2018.0,8.0,31.0,1063.0
2018-08-24,2018.0,8.0,24.0,1093.0
2018-08-17,2018.0,8.0,17.0,1098.0
2018-08-10,2018.0,8.0,10.0,1108.0
2018-08-03,2018.0,8.0,3.0,1123.0
2018-07-27,2018.0,7.0,27.0,1123.0
2018-07-20,2018.0,7.0,20.0,1123.0
2018-07-13,2018.0,7.0,13.0,1123.0
2018-07-06,2018.0,7.0,6.0,1123.0
2018-06-29,2018.0,6.0,29.0,1123.0
2018-06-22,2018.0,6.0,22.0,1123.0
2018-06-15,2018.0,6.0,15.0,1128.0
2018-06-08,2018.0,6.0,8.0,1123.0
2018-06-01,2018.0,6.0,1.0,1123.0
2018-05-25,2018.0,5.0,25.0,1123.0
2018-05-18,2018.0,5.0,18.0,1128.0
2018-05-11,2018.0,5.0,11.0,1128.0
2018-05-04,2018.0,5.0,4.0,1128.0
2018-04-27,2018.0,4.0,27.0,1128.0
2018-04-20,2018.0,4.0,20.0,1103.0
2018-04-13,2018.0,4.0,13.0,1103.0
2018-04-06,2018.0,4.0,6.0,1103.0
2018-03-30,2018.0,3.0,30.0,1103.0
2018-03-23,2018.0,3.0,23.0,1103.0
2018-03-16,2018.0,3.0,16.0,1163.0
2018-03-09,2018.0,3.0,9.0,1178.0
2018-03-02,2018.0,3.0,2.0,1168.0
2018-02-23,2018.0,2.0,23.0,1123.0
2018-02-16,2018.0,2.0,16.0,1103.0
2018-02-09,2018.0,2.0,9.0,1098.0
2018-02-02,2018.0,2.0,2.0,1118.0
2018-01-26,2018.0,1.0,26.0,1108.0
2018-01-19,2018.0,1.0,19.0,1103.0
2018-01-12,2018.0,1.0,12.0,1093.0
2018-01-05,2018.0,1.0,5.0,1093.0
2017-12-22,2017.0,12.0,22.0,1093.0
2017-12-15,2017.0,12.0,15.0,1083.0
2017-12-08,2017.0,12.0,8.0,1073.0
2017-12-01,2017.0,12.0,1.0,1043.0
2017-11-24,2017.0,11.0,24.0,1023.0
2017-11-17,2017.0,11.0,17.0,1003.0
2017-11-10,2017.0,11.0,10.0,1003.0
2017-11-03,2017.0,11.0,3.0,1018.0
2017-10-27,2017.0,10.0,27.0,1028.0
2017-10-20,2017.0,10.0,20.0,1048.0
2017-10-13,2017.0,10.0,13.0,1063.0
2017-10-06,2017.0,10.0,6.0,1063.0
2017-09-29,2017.0,9.0,29.0,1073.0
2017-09-22,2017.0,9.0,22.0,1083.0
2017-09-15,2017.0,9.0,15.0,1123.0
2017-09-08,2017.0,9.0,8.0,1123.0
2017-09-01,2017.0,9.0,1.0,1113.0
2017-08-25,2017.0,8.0,25.0,1103.0
2017-08-18,2017.0,8.0,18.0,1073.0
2017-08-11,2017.0,8.0,11.0,1048.0
