Date.18,year,month,day,Price.2
2018-09-30,2018.0,9.0,30.0,16759.42
2018-09-23,2018.0,9.0,23.0,17609.68
2018-09-16,2018.0,9.0,16.0,17592.7
2018-09-09,2018.0,9.0,9.0,17488.46
2018-09-02,2018.0,9.0,2.0,17456.08
2018-08-26,2018.0,8.0,26.0,18132.08
2018-08-19,2018.0,8.0,19.0,17808.82
2018-08-12,2018.0,8.0,12.0,17586.82
2018-08-05,2018.0,8.0,5.0,18065.58
2018-07-29,2018.0,7.0,29.0,18085.12
2018-07-22,2018.0,7.0,22.0,18505.2
2018-07-15,2018.0,7.0,15.0,18251.94
2018-07-08,2018.0,7.0,8.0,18423.34
2018-07-01,2018.0,7.0,1.0,18000.0
2018-06-24,2018.0,6.0,24.0,18335.88
2018-06-17,2018.0,6.0,17.0,17882.94
2018-06-10,2018.0,6.0,10.0,18348.1
2018-06-03,2018.0,6.0,3.0,18652.5
2018-05-27,2018.0,5.0,27.0,18240.76
2018-05-20,2018.0,5.0,20.0,18089.2
2018-05-13,2018.0,5.0,13.0,17923.02
2018-05-06,2018.0,5.0,6.0,17772.76
2018-04-29,2018.0,4.0,29.0,17014.72
2018-04-22,2018.0,4.0,22.0,16954.8
2018-04-15,2018.0,4.0,15.0,17410.62
2018-04-08,2018.0,4.0,8.0,17516.36
2018-04-01,2018.0,4.0,1.0,17122.42
2018-03-25,2018.0,3.0,25.0,17358.92
2018-03-18,2018.0,3.0,18.0,17248.2
2018-03-11,2018.0,3.0,11.0,17466.96
2018-03-04,2018.0,3.0,4.0,17266.12
2018-02-25,2018.0,2.0,25.0,17086.36
2018-02-18,2018.0,2.0,18.0,17221.86
2018-02-11,2018.0,2.0,11.0,16636.16
2018-02-04,2018.0,2.0,4.0,16620.6
2018-01-28,2018.0,1.0,28.0,17695.54
2018-01-21,2018.0,1.0,21.0,17773.18
2018-01-14,2018.0,1.0,14.0,17789.1
2018-01-07,2018.0,1.0,7.0,17593.0
2017-12-31,2017.0,12.0,31.0,17560.18
2017-12-24,2017.0,12.0,24.0,17453.62
2017-12-17,2017.0,12.0,17.0,17207.24
2017-12-10,2017.0,12.0,10.0,17039.04
2017-12-03,2017.0,12.0,3.0,16969.02
2017-11-26,2017.0,11.0,26.0,17391.08
2017-11-19,2017.0,11.0,19.0,17827.32
2017-11-12,2017.0,11.0,12.0,17694.84
2017-11-05,2017.0,11.0,5.0,17824.46
2017-10-29,2017.0,10.0,29.0,18120.76
2017-10-22,2017.0,10.0,22.0,17847.86
2017-10-15,2017.0,10.0,15.0,18003.54
2017-10-08,2017.0,10.0,8.0,17945.84
2017-10-01,2017.0,10.0,1.0,17820.9
2017-09-24,2017.0,9.0,24.0,17563.76
2017-09-17,2017.0,9.0,17.0,17848.94
2017-09-10,2017.0,9.0,10.0,18328.26
2017-09-03,2017.0,9.0,3.0,18577.14
2017-08-27,2017.0,8.0,27.0,18582.28
2017-08-20,2017.0,8.0,20.0,18464.94
2017-08-13,2017.0,8.0,13.0,18095.46
2017-08-06,2017.0,8.0,6.0,18055.22
2017-07-30,2017.0,7.0,30.0,18354.52
2017-07-23,2017.0,7.0,23.0,18075.0
2017-07-16,2017.0,7.0,16.0,18082.26
2017-07-09,2017.0,7.0,9.0,18161.64
2017-07-02,2017.0,7.0,2.0,17980.42
2017-06-25,2017.0,6.0,25.0,18127.56
2017-06-18,2017.0,6.0,18.0,17867.28
2017-06-11,2017.0,6.0,11.0,17325.38
2017-06-04,2017.0,6.0,4.0,17429.6
2017-05-28,2017.0,5.0,28.0,17410.94
2017-05-21,2017.0,5.0,21.0,17347.6
2017-05-14,2017.0,5.0,14.0,17051.8
2017-05-07,2017.0,5.0,7.0,17163.18
2017-04-30,2017.0,4.0,30.0,17082.04
2017-04-23,2017.0,4.0,23.0,17101.98
2017-04-16,2017.0,4.0,16.0,16831.36
2017-04-09,2017.0,4.0,9.0,16856.6
2017-04-02,2017.0,4.0,2.0,16982.42
2017-03-26,2017.0,3.0,26.0,16790.26
2017-03-19,2017.0,3.0,19.0,16878.84
2017-03-12,2017.0,3.0,12.0,16960.68
2017-03-05,2017.0,3.0,5.0,16431.14
2017-02-26,2017.0,2.0,26.0,16519.56
2017-02-19,2017.0,2.0,19.0,16709.36
2017-02-12,2017.0,2.0,12.0,16752.26
2017-02-05,2017.0,2.0,5.0,16696.24
2017-01-29,2017.0,1.0,29.0,16151.84
2017-01-22,2017.0,1.0,22.0,16154.6
2017-01-15,2017.0,1.0,15.0,15979.58
2017-01-08,2017.0,1.0,8.0,16040.24
2017-01-01,2017.0,1.0,1.0,15931.5
2016-12-25,2016.0,12.0,25.0,15725.64
2016-12-18,2016.0,12.0,18.0,15389.02
2016-12-11,2016.0,12.0,11.0,15792.22
2016-12-04,2016.0,12.0,4.0,16019.1
2016-11-27,2016.0,11.0,27.0,15691.34
2016-11-20,2016.0,11.0,20.0,15537.9
2016-11-13,2016.0,11.0,13.0,15301.84
2016-11-06,2016.0,11.0,6.0,15239.38
2016-10-30,2016.0,10.0,30.0,15500.34
2016-10-23,2016.0,10.0,23.0,15965.26
2016-10-16,2016.0,10.0,16.0,15952.44
2016-10-09,2016.0,10.0,9.0,15570.82
2016-10-02,2016.0,10.0,2.0,15709.46
2016-09-25,2016.0,9.0,25.0,15589.18
2016-09-18,2016.0,9.0,18.0,15723.84
2016-09-11,2016.0,9.0,11.0,15144.26
2016-09-04,2016.0,9.0,4.0,15553.24
2016-08-28,2016.0,8.0,28.0,15339.08
2016-08-21,2016.0,8.0,21.0,15702.84
2016-08-14,2016.0,8.0,14.0,15451.24
2016-08-07,2016.0,8.0,7.0,15710.0
2016-07-31,2016.0,7.0,31.0,15625.22
2016-07-24,2016.0,7.0,24.0,15412.94
2016-07-17,2016.0,7.0,17.0,15559.66
2016-07-10,2016.0,7.0,10.0,15502.36
2016-07-03,2016.0,7.0,3.0,14817.98
2016-06-26,2016.0,6.0,26.0,15013.0
2016-06-19,2016.0,6.0,19.0,14597.94
2016-06-12,2016.0,6.0,12.0,14619.42
2016-06-05,2016.0,6.0,5.0,14928.6
2016-05-29,2016.0,5.0,29.0,14720.58
2016-05-22,2016.0,5.0,22.0,14483.54
2016-05-15,2016.0,5.0,15.0,14053.58
2016-05-08,2016.0,5.0,8.0,14026.8
2016-05-01,2016.0,5.0,1.0,14019.66
2016-04-24,2016.0,4.0,24.0,14486.14
2016-04-17,2016.0,4.0,17.0,14746.38
2016-04-10,2016.0,4.0,10.0,15062.4
2016-04-03,2016.0,4.0,3.0,14621.46
2016-03-27,2016.0,3.0,27.0,14820.02
2016-03-20,2016.0,3.0,20.0,14917.64
2016-03-13,2016.0,3.0,13.0,15150.64
2016-03-06,2016.0,3.0,6.0,14928.18
2016-02-28,2016.0,2.0,28.0,14902.22
2016-02-21,2016.0,2.0,21.0,14425.7
2016-02-14,2016.0,2.0,14.0,14244.34
2016-02-07,2016.0,2.0,7.0,13807.34
2016-01-31,2016.0,1.0,31.0,13807.34
2016-01-24,2016.0,1.0,24.0,13937.94
2016-01-17,2016.0,1.0,17.0,13282.42
2016-01-10,2016.0,1.0,10.0,13397.6
2016-01-03,2016.0,1.0,3.0,13573.38
2015-12-27,2015.0,12.0,27.0,14305.68
2015-12-20,2015.0,12.0,20.0,14295.98
2015-12-13,2015.0,12.0,13.0,14122.18
2015-12-06,2015.0,12.0,6.0,14031.34
2015-11-29,2015.0,11.0,29.0,14528.88
2015-11-22,2015.0,11.0,22.0,14624.32
2015-11-15,2015.0,11.0,15.0,14769.62
2015-11-08,2015.0,11.0,8.0,14609.44
2015-11-01,2015.0,11.0,1.0,15306.82
2015-10-25,2015.0,10.0,25.0,15165.74
2015-10-18,2015.0,10.0,18.0,15387.56
2015-10-11,2015.0,10.0,11.0,15320.3
2015-10-04,2015.0,10.0,4.0,15182.66
2015-09-27,2015.0,9.0,27.0,14965.64
2015-09-20,2015.0,9.0,20.0,14664.54
2015-09-13,2015.0,9.0,13.0,15151.76
2015-09-06,2015.0,9.0,6.0,14962.32
2015-08-30,2015.0,8.0,30.0,14422.82
2015-08-23,2015.0,8.0,23.0,14572.56
2015-08-16,2015.0,8.0,16.0,14205.7
2015-08-09,2015.0,8.0,9.0,15044.66
2015-08-02,2015.0,8.0,2.0,15125.54
2015-07-26,2015.0,7.0,26.0,15374.46
2015-07-19,2015.0,7.0,19.0,15485.48
2015-07-12,2015.0,7.0,12.0,15932.98
2015-07-05,2015.0,7.0,5.0,15632.12
2015-06-28,2015.0,6.0,28.0,16337.58
2015-06-21,2015.0,6.0,21.0,16427.52
2015-06-14,2015.0,6.0,14.0,15847.46
2015-06-07,2015.0,6.0,7.0,16040.72
2015-05-31,2015.0,5.0,31.0,16106.3
2015-05-24,2015.0,5.0,24.0,16751.96
2015-05-17,2015.0,5.0,17.0,16705.5
2015-05-10,2015.0,5.0,10.0,16513.38
2015-05-03,2015.0,5.0,3.0,16657.5
2015-04-26,2015.0,4.0,26.0,16779.0
2015-04-19,2015.0,4.0,19.0,17037.8
2015-04-12,2015.0,4.0,12.0,16527.9
2015-04-05,2015.0,4.0,5.0,16573.66
2015-03-29,2015.0,3.0,29.0,16548.88
2015-03-22,2015.0,3.0,22.0,16397.46
2015-03-15,2015.0,3.0,15.0,16622.94
2015-03-08,2015.0,3.0,8.0,16223.96
2015-03-01,2015.0,3.0,1.0,16447.32
2015-02-22,2015.0,2.0,22.0,16333.16
2015-02-15,2015.0,2.0,15.0,16250.32
2015-02-08,2015.0,2.0,8.0,16250.32
2015-02-01,2015.0,2.0,1.0,16196.42
2015-01-25,2015.0,1.0,25.0,15964.7
2015-01-18,2015.0,1.0,18.0,16160.62
2015-01-11,2015.0,1.0,11.0,15475.86
2015-01-04,2015.0,1.0,4.0,15600.88
2014-12-28,2014.0,12.0,28.0,15756.84
2014-12-21,2014.0,12.0,21.0,15536.18
2014-12-14,2014.0,12.0,14.0,15204.96
2014-12-07,2014.0,12.0,7.0,15394.6
2014-11-30,2014.0,11.0,30.0,15806.68
2014-11-23,2014.0,11.0,23.0,15845.32
2014-11-16,2014.0,11.0,16.0,15655.82
2014-11-09,2014.0,11.0,9.0,15413.1
2014-11-02,2014.0,11.0,2.0,15451.64
2014-10-26,2014.0,10.0,26.0,15581.5
2014-10-19,2014.0,10.0,19.0,15061.3
2014-10-12,2014.0,10.0,12.0,14720.66
2014-10-05,2014.0,10.0,5.0,15648.2
2014-09-28,2014.0,9.0,28.0,15873.92
2014-09-21,2014.0,9.0,21.0,15737.5
2014-09-14,2014.0,9.0,14.0,16120.38
