Date,year,month,day,"product1, CFR market1"
2020-09-30,2020.0,9.0,30.0,923.0
2020-09-29,2020.0,9.0,29.0,923.0
2020-09-28,2020.0,9.0,28.0,926.0
2020-09-25,2020.0,9.0,25.0,928.0
2020-09-24,2020.0,9.0,24.0,933.0
2020-09-23,2020.0,9.0,23.0,933.0
2020-09-22,2020.0,9.0,22.0,933.0
2020-09-21,2020.0,9.0,21.0,938.0
2020-09-18,2020.0,9.0,18.0,933.0
2020-09-17,2020.0,9.0,17.0,938.0
2020-09-16,2020.0,9.0,16.0,938.0
2020-09-15,2020.0,9.0,15.0,933.0
2020-09-14,2020.0,9.0,14.0,933.0
2020-09-11,2020.0,9.0,11.0,933.0
2020-09-10,2020.0,9.0,10.0,938.0
2020-09-09,2020.0,9.0,9.0,933.0
2020-09-08,2020.0,9.0,8.0,928.0
2020-09-07,2020.0,9.0,7.0,923.0
2020-09-04,2020.0,9.0,4.0,918.0
2020-09-03,2020.0,9.0,3.0,923.0
2020-09-02,2020.0,9.0,2.0,923.0
2020-09-01,2020.0,9.0,1.0,926.0
2020-08-31,2020.0,8.0,31.0,921.0
2020-08-28,2020.0,8.0,28.0,920.0
2020-08-27,2020.0,8.0,27.0,908.0
2020-08-26,2020.0,8.0,26.0,908.0
2020-08-25,2020.0,8.0,25.0,908.0
2020-08-24,2020.0,8.0,24.0,908.0
2020-08-21,2020.0,8.0,21.0,911.0
2020-08-20,2020.0,8.0,20.0,908.0
2020-08-19,2020.0,8.0,19.0,898.0
2020-08-18,2020.0,8.0,18.0,893.0
2020-08-17,2020.0,8.0,17.0,898.0
2020-08-14,2020.0,8.0,14.0,900.0
2020-08-13,2020.0,8.0,13.0,898.0
2020-08-12,2020.0,8.0,12.0,905.0
2020-08-11,2020.0,8.0,11.0,908.0
2020-08-07,2020.0,8.0,7.0,883.0
2020-08-06,2020.0,8.0,6.0,888.0
2020-08-05,2020.0,8.0,5.0,888.0
2020-08-04,2020.0,8.0,4.0,878.0
2020-08-03,2020.0,8.0,3.0,883.0
2020-07-30,2020.0,7.0,30.0,883.0
2020-07-29,2020.0,7.0,29.0,878.0
2020-07-28,2020.0,7.0,28.0,878.0
2020-07-27,2020.0,7.0,27.0,873.0
2020-07-24,2020.0,7.0,24.0,873.0
2020-07-23,2020.0,7.0,23.0,873.0
2020-07-22,2020.0,7.0,22.0,868.0
2020-07-21,2020.0,7.0,21.0,848.0
2020-07-20,2020.0,7.0,20.0,848.0
2020-07-17,2020.0,7.0,17.0,848.0
2020-07-16,2020.0,7.0,16.0,848.0
2020-07-15,2020.0,7.0,15.0,843.0
2020-07-14,2020.0,7.0,14.0,848.0
2020-07-13,2020.0,7.0,13.0,843.0
2020-07-09,2020.0,7.0,9.0,838.0
2020-07-08,2020.0,7.0,8.0,838.0
2020-07-07,2020.0,7.0,7.0,838.0
2020-07-06,2020.0,7.0,6.0,838.0
2020-07-03,2020.0,7.0,3.0,836.0
2020-07-02,2020.0,7.0,2.0,841.0
2020-07-01,2020.0,7.0,1.0,838.0
2020-06-30,2020.0,6.0,30.0,838.0
2020-06-29,2020.0,6.0,29.0,838.0
2020-06-26,2020.0,6.0,26.0,838.0
2020-06-25,2020.0,6.0,25.0,838.0
2020-06-24,2020.0,6.0,24.0,838.0
2020-06-23,2020.0,6.0,23.0,836.0
2020-06-22,2020.0,6.0,22.0,838.0
2020-06-19,2020.0,6.0,19.0,833.0
2020-06-18,2020.0,6.0,18.0,838.0
2020-06-17,2020.0,6.0,17.0,838.0
2020-06-16,2020.0,6.0,16.0,843.0
2020-06-15,2020.0,6.0,15.0,848.0
2020-06-12,2020.0,6.0,12.0,848.0
2020-06-11,2020.0,6.0,11.0,841.0
2020-06-10,2020.0,6.0,10.0,838.0
2020-06-09,2020.0,6.0,9.0,838.0
2020-06-08,2020.0,6.0,8.0,833.0
2020-06-05,2020.0,6.0,5.0,828.0
2020-06-04,2020.0,6.0,4.0,828.0
2020-06-03,2020.0,6.0,3.0,828.0
2020-06-02,2020.0,6.0,2.0,828.0
2020-06-01,2020.0,6.0,1.0,813.0
2020-05-29,2020.0,5.0,29.0,813.0
2020-05-28,2020.0,5.0,28.0,808.0
2020-05-27,2020.0,5.0,27.0,810.0
2020-05-26,2020.0,5.0,26.0,820.0
2020-05-22,2020.0,5.0,22.0,820.0
2020-05-21,2020.0,5.0,21.0,808.0
2020-05-20,2020.0,5.0,20.0,808.0
2020-05-19,2020.0,5.0,19.0,788.0
2020-05-18,2020.0,5.0,18.0,788.0
2020-05-15,2020.0,5.0,15.0,788.0
2020-05-14,2020.0,5.0,14.0,788.0
2020-05-13,2020.0,5.0,13.0,783.0
2020-05-12,2020.0,5.0,12.0,783.0
2020-05-11,2020.0,5.0,11.0,778.0
2020-05-08,2020.0,5.0,8.0,778.0
2020-05-06,2020.0,5.0,6.0,768.0
2020-05-05,2020.0,5.0,5.0,768.0
2020-05-04,2020.0,5.0,4.0,768.0
2020-04-30,2020.0,4.0,30.0,768.0
2020-04-29,2020.0,4.0,29.0,768.0
2020-04-28,2020.0,4.0,28.0,778.0
2020-04-27,2020.0,4.0,27.0,778.0
2020-04-24,2020.0,4.0,24.0,778.0
2020-04-23,2020.0,4.0,23.0,778.0
2020-04-22,2020.0,4.0,22.0,773.0
2020-04-21,2020.0,4.0,21.0,773.0
2020-04-20,2020.0,4.0,20.0,773.0
2020-04-17,2020.0,4.0,17.0,773.0
2020-04-16,2020.0,4.0,16.0,773.0
2020-04-15,2020.0,4.0,15.0,773.0
2020-04-14,2020.0,4.0,14.0,773.0
2020-04-13,2020.0,4.0,13.0,773.0
2020-04-09,2020.0,4.0,9.0,773.0
2020-04-08,2020.0,4.0,8.0,773.0
2020-04-07,2020.0,4.0,7.0,773.0
2020-04-06,2020.0,4.0,6.0,778.0
2020-04-03,2020.0,4.0,3.0,778.0
2020-04-02,2020.0,4.0,2.0,783.0
2020-04-01,2020.0,4.0,1.0,788.0
2020-03-31,2020.0,3.0,31.0,793.0
2020-03-30,2020.0,3.0,30.0,798.0
2020-03-27,2020.0,3.0,27.0,798.0
2020-03-26,2020.0,3.0,26.0,808.0
