Date.28,year,month,day,country4 Industrial Production
2021-04-01,2021.0,4.0,1.0,69.92
2021-03-01,2021.0,3.0,1.0,41.24
2021-02-01,2021.0,2.0,1.0,30.84
2021-01-01,2021.0,1.0,1.0,29.0
2020-12-01,2020.0,12.0,1.0,27.4
2020-11-01,2020.0,11.0,1.0,33.4
2020-10-01,2020.0,10.0,1.0,32.16
2020-09-01,2020.0,9.0,1.0,28.7
2020-08-01,2020.0,8.0,1.0,14.9
2020-07-01,2020.0,7.0,1.0,7.140000000000001
2020-06-01,2020.0,6.0,1.0,-2.579999999999998
2020-05-01,2020.0,5.0,1.0,-14.6
2020-04-01,2020.0,4.0,1.0,-3.439999999999998
2020-03-01,2020.0,3.0,1.0,12.04
2020-02-01,2020.0,2.0,1.0,24.52
2020-01-01,2020.0,1.0,1.0,24.96
2019-12-01,2019.0,12.0,1.0,24.26
2019-11-01,2019.0,11.0,1.0,16.96
2019-10-01,2019.0,10.0,1.0,17.04
2019-09-01,2019.0,9.0,1.0,23.06
2019-08-01,2019.0,8.0,1.0,24.14
2019-07-01,2019.0,7.0,1.0,26.56
2019-06-01,2019.0,6.0,1.0,22.72
2019-05-01,2019.0,5.0,1.0,26.6
2019-04-01,2019.0,4.0,1.0,36.0
2019-03-01,2019.0,3.0,1.0,28.0
2019-02-01,2019.0,2.0,1.0,30.2
2019-01-01,2019.0,1.0,1.0,33.8
2018-12-01,2018.0,12.0,1.0,35.4
2018-11-01,2018.0,11.0,1.0,35.2
2018-10-01,2018.0,10.0,1.0,44.6
2018-09-01,2018.0,9.0,1.0,33.0
2018-08-01,2018.0,8.0,1.0,38.6
2018-07-01,2018.0,7.0,1.0,42.8
2018-06-01,2018.0,6.0,1.0,42.6
2018-05-01,2018.0,5.0,1.0,42.8
2018-04-01,2018.0,4.0,1.0,40.4
2018-03-01,2018.0,3.0,1.0,42.4
2018-02-01,2018.0,2.0,1.0,43.0
2018-01-01,2018.0,1.0,1.0,44.6
2017-12-01,2017.0,12.0,1.0,41.8
2017-11-01,2017.0,11.0,1.0,44.8
2017-10-01,2017.0,10.0,1.0,35.6
2017-09-01,2017.0,9.0,1.0,35.4
2017-08-01,2017.0,8.0,1.0,39.2
2017-07-01,2017.0,7.0,1.0,36.4
2017-06-01,2017.0,6.0,1.0,33.8
2017-05-01,2017.0,5.0,1.0,38.4
2017-04-01,2017.0,4.0,1.0,31.4
2017-03-01,2017.0,3.0,1.0,36.6
2017-02-01,2017.0,2.0,1.0,30.2
2017-01-01,2017.0,1.0,1.0,36.2
2016-12-01,2016.0,12.0,1.0,33.8
2016-11-01,2016.0,11.0,1.0,37.4
2016-10-01,2016.0,10.0,1.0,33.6
2016-09-01,2016.0,9.0,1.0,43.0
2016-08-01,2016.0,8.0,1.0,44.4
2016-07-01,2016.0,7.0,1.0,32.4
2016-06-01,2016.0,6.0,1.0,40.2
2016-05-01,2016.0,5.0,1.0,38.2
2016-04-01,2016.0,4.0,1.0,37.4
2016-03-01,2016.0,3.0,1.0,34.2
2016-02-01,2016.0,2.0,1.0,30.4
2016-01-01,2016.0,1.0,1.0,25.6
2015-12-01,2015.0,12.0,1.0,32.4
2015-11-01,2015.0,11.0,1.0,33.6
2015-10-01,2015.0,10.0,1.0,31.4
2015-09-01,2015.0,9.0,1.0,31.4
2015-08-01,2015.0,8.0,1.0,32.8
2015-07-01,2015.0,7.0,1.0,33.4
2015-06-01,2015.0,6.0,1.0,31.8
2015-05-01,2015.0,5.0,1.0,27.8
2015-04-01,2015.0,4.0,1.0,31.6
2015-03-01,2015.0,3.0,1.0,34.0
2015-02-01,2015.0,2.0,1.0,39.8
2015-01-01,2015.0,1.0,1.0,36.6
