Date.6,year,month,day,"futures, 3, weekly"
2020-06-01,2020.0,6.0,1.0,7409.0
2020-05-25,2020.0,5.0,25.0,7333.0
2020-05-18,2020.0,5.0,18.0,7311.0
2020-05-11,2020.0,5.0,11.0,7187.0
2020-05-04,2020.0,5.0,4.0,7169.0
2020-04-27,2020.0,4.0,27.0,7045.0
2020-04-20,2020.0,4.0,20.0,7053.0
2020-04-13,2020.0,4.0,13.0,7057.0
2020-04-06,2020.0,4.0,6.0,6833.0
2020-03-30,2020.0,3.0,30.0,6751.0
2020-03-23,2020.0,3.0,23.0,6817.0
2020-03-16,2020.0,3.0,16.0,7025.0
2020-03-09,2020.0,3.0,9.0,7035.0
2020-03-02,2020.0,3.0,2.0,6925.0
2020-02-24,2020.0,2.0,24.0,6899.0
2020-02-17,2020.0,2.0,17.0,6895.0
2020-02-10,2020.0,2.0,10.0,6795.0
2020-02-03,2020.0,2.0,3.0,6675.0
2020-01-20,2020.0,1.0,20.0,7265.0
2020-01-13,2020.0,1.0,13.0,7307.0
2020-01-06,2020.0,1.0,6.0,7315.0
2019-12-30,2019.0,12.0,30.0,7269.0
2019-12-23,2019.0,12.0,23.0,7219.0
2019-12-16,2019.0,12.0,16.0,7173.0
2019-12-09,2019.0,12.0,9.0,7225.0
2019-12-02,2019.0,12.0,2.0,7049.0
2019-11-25,2019.0,11.0,25.0,7055.0
2019-11-18,2019.0,11.0,18.0,6949.0
2019-11-11,2019.0,11.0,11.0,6961.0
2019-11-04,2019.0,11.0,4.0,6867.0
2019-10-28,2019.0,10.0,28.0,6751.0
2019-10-21,2019.0,10.0,21.0,6665.0
2019-10-14,2019.0,10.0,14.0,6745.0
2019-10-07,2019.0,10.0,7.0,7001.0
2019-09-30,2019.0,9.0,30.0,7115.0
2019-09-23,2019.0,9.0,23.0,7115.0
2019-09-16,2019.0,9.0,16.0,7125.0
2019-09-09,2019.0,9.0,9.0,7261.0
2019-09-02,2019.0,9.0,2.0,7083.0
2019-08-26,2019.0,8.0,26.0,6897.0
2019-08-19,2019.0,8.0,19.0,7115.0
2019-08-12,2019.0,8.0,12.0,7357.0
2019-08-05,2019.0,8.0,5.0,7407.0
2019-07-29,2019.0,7.0,29.0,7759.0
2019-07-22,2019.0,7.0,22.0,7951.0
2019-07-15,2019.0,7.0,15.0,8141.0
2019-07-08,2019.0,7.0,8.0,8227.0
2019-07-01,2019.0,7.0,1.0,8323.0
2019-06-24,2019.0,6.0,24.0,8157.0
2019-06-17,2019.0,6.0,17.0,7775.0
2019-06-10,2019.0,6.0,10.0,7895.0
2019-06-03,2019.0,6.0,3.0,7915.0
2019-05-27,2019.0,5.0,27.0,8095.0
2019-05-20,2019.0,5.0,20.0,8161.0
2019-05-13,2019.0,5.0,13.0,7941.0
2019-05-06,2019.0,5.0,6.0,8005.0
2019-04-29,2019.0,4.0,29.0,8037.0
2019-04-22,2019.0,4.0,22.0,8013.0
2019-04-15,2019.0,4.0,15.0,8035.0
2019-04-08,2019.0,4.0,8.0,8031.0
2019-04-01,2019.0,4.0,1.0,7589.0
2019-03-25,2019.0,3.0,25.0,7363.0
2019-03-18,2019.0,3.0,18.0,7475.0
2019-03-11,2019.0,3.0,11.0,7653.0
2019-03-04,2019.0,3.0,4.0,7691.0
2019-02-25,2019.0,2.0,25.0,7565.0
2019-02-18,2019.0,2.0,18.0,7421.0
2019-02-11,2019.0,2.0,11.0,7787.0
2019-01-28,2019.0,1.0,28.0,7745.0
2019-01-21,2019.0,1.0,21.0,7571.0
2019-01-14,2019.0,1.0,14.0,7349.0
2019-01-07,2019.0,1.0,7.0,7273.0
2018-12-31,2018.0,12.0,31.0,7135.0
2018-12-24,2018.0,12.0,24.0,7117.0
2018-12-17,2018.0,12.0,17.0,7137.0
2018-12-10,2018.0,12.0,10.0,7029.0
2018-12-03,2018.0,12.0,3.0,7189.0
2018-11-26,2018.0,11.0,26.0,6963.0
2018-11-19,2018.0,11.0,19.0,7173.0
2018-11-12,2018.0,11.0,12.0,7801.0
2018-11-05,2018.0,11.0,5.0,8077.0
2018-10-29,2018.0,10.0,29.0,8375.0
2018-10-22,2018.0,10.0,22.0,8429.0
2018-10-15,2018.0,10.0,15.0,8457.0
2018-10-08,2018.0,10.0,8.0,8599.0
2018-09-24,2018.0,9.0,24.0,8491.0
2018-09-17,2018.0,9.0,17.0,8677.0
2018-09-10,2018.0,9.0,10.0,8987.0
2018-09-03,2018.0,9.0,3.0,8829.0
2018-08-27,2018.0,8.0,27.0,8869.0
2018-08-20,2018.0,8.0,20.0,8973.0
2018-08-13,2018.0,8.0,13.0,8735.0
2018-08-06,2018.0,8.0,6.0,8551.0
2018-07-30,2018.0,7.0,30.0,8401.0
2018-07-23,2018.0,7.0,23.0,8127.0
2018-07-16,2018.0,7.0,16.0,8027.0
2018-07-09,2018.0,7.0,9.0,8025.0
2018-07-02,2018.0,7.0,2.0,7837.0
2018-06-25,2018.0,6.0,25.0,7767.0
2018-06-18,2018.0,6.0,18.0,7797.0
2018-06-11,2018.0,6.0,11.0,8119.0
2018-06-04,2018.0,6.0,4.0,7885.0
2018-05-28,2018.0,5.0,28.0,7667.0
2018-05-21,2018.0,5.0,21.0,7519.0
2018-05-14,2018.0,5.0,14.0,7727.0
2018-05-07,2018.0,5.0,7.0,7811.0
2018-04-30,2018.0,4.0,30.0,7841.0
2018-04-23,2018.0,4.0,23.0,7543.0
2018-04-16,2018.0,4.0,16.0,7357.0
2018-04-09,2018.0,4.0,9.0,7335.0
2018-04-02,2018.0,4.0,2.0,7181.0
2018-03-26,2018.0,3.0,26.0,6883.0
2018-03-19,2018.0,3.0,19.0,7131.0
2018-03-12,2018.0,3.0,12.0,7479.0
2018-03-05,2018.0,3.0,5.0,7761.0
2018-02-26,2018.0,2.0,26.0,8089.0
2018-02-19,2018.0,2.0,19.0,7905.0
2018-02-12,2018.0,2.0,12.0,7987.0
