Date.7,year,month,day,"futures 1, weekly"
2018-09-17,2018.0,9.0,17.0,9157.0
2018-09-10,2018.0,9.0,10.0,9663.0
2018-09-03,2018.0,9.0,3.0,9521.0
2018-08-27,2018.0,8.0,27.0,9187.0
2018-08-20,2018.0,8.0,20.0,9083.0
2018-08-13,2018.0,8.0,13.0,8999.0
2018-08-06,2018.0,8.0,6.0,8433.0
2018-07-30,2018.0,7.0,30.0,8437.0
2018-07-23,2018.0,7.0,23.0,8339.0
2018-07-16,2018.0,7.0,16.0,8239.0
2018-07-09,2018.0,7.0,9.0,8017.0
2018-07-02,2018.0,7.0,2.0,8229.0
2018-06-25,2018.0,6.0,25.0,8329.0
2018-06-18,2018.0,6.0,18.0,8299.0
2018-06-11,2018.0,6.0,11.0,8927.0
2018-06-04,2018.0,6.0,4.0,8511.0
2018-05-28,2018.0,5.0,28.0,8257.0
2018-05-21,2018.0,5.0,21.0,8115.0
2018-05-14,2018.0,5.0,14.0,8131.0
2018-05-07,2018.0,5.0,7.0,8123.0
2018-04-30,2018.0,4.0,30.0,8161.0
2018-04-23,2018.0,4.0,23.0,7825.0
2018-04-16,2018.0,4.0,16.0,7481.0
2018-04-09,2018.0,4.0,9.0,7397.0
2018-04-02,2018.0,4.0,2.0,7315.0
2018-03-26,2018.0,3.0,26.0,6995.0
2018-03-19,2018.0,3.0,19.0,7357.0
2018-03-12,2018.0,3.0,12.0,8089.0
2018-03-05,2018.0,3.0,5.0,8143.0
2018-02-26,2018.0,2.0,26.0,8335.0
