Date.5,year,month,day,"futures, 1"
2021-04-02,2021.0,4.0,2.0,9953.0
2021-04-01,2021.0,4.0,1.0,9813.0
2021-03-31,2021.0,3.0,31.0,9663.0
2021-03-30,2021.0,3.0,30.0,9693.0
2021-03-29,2021.0,3.0,29.0,9605.0
2021-03-26,2021.0,3.0,26.0,9631.0
2021-03-25,2021.0,3.0,25.0,9471.0
2021-03-24,2021.0,3.0,24.0,9509.0
2021-03-23,2021.0,3.0,23.0,9343.0
2021-03-22,2021.0,3.0,22.0,9433.0
2021-03-19,2021.0,3.0,19.0,9417.0
2021-03-18,2021.0,3.0,18.0,9453.0
2021-03-17,2021.0,3.0,17.0,9493.0
2021-03-16,2021.0,3.0,16.0,9353.0
2021-03-15,2021.0,3.0,15.0,9151.0
2021-03-12,2021.0,3.0,12.0,9133.0
2021-03-11,2021.0,3.0,11.0,9129.0
2021-03-10,2021.0,3.0,10.0,8937.0
2021-03-09,2021.0,3.0,9.0,9195.0
2021-03-08,2021.0,3.0,8.0,9333.0
2021-03-05,2021.0,3.0,5.0,9193.0
2021-03-04,2021.0,3.0,4.0,9529.0
2021-03-03,2021.0,3.0,3.0,9529.0
2021-03-02,2021.0,3.0,2.0,9213.0
2021-03-01,2021.0,3.0,1.0,9117.0
2021-02-26,2021.0,2.0,26.0,9405.0
2021-02-25,2021.0,2.0,25.0,9269.0
2021-02-24,2021.0,2.0,24.0,9113.0
2021-02-23,2021.0,2.0,23.0,8971.0
2021-02-22,2021.0,2.0,22.0,9033.0
2021-02-19,2021.0,2.0,19.0,8845.0
2021-02-18,2021.0,2.0,18.0,8353.0
2021-02-17,2021.0,2.0,17.0,8353.0
2021-02-16,2021.0,2.0,16.0,8353.0
2021-02-15,2021.0,2.0,15.0,8353.0
2021-02-12,2021.0,2.0,12.0,8353.0
2021-02-11,2021.0,2.0,11.0,8353.0
2021-02-10,2021.0,2.0,10.0,8353.0
2021-02-09,2021.0,2.0,9.0,8353.0
2021-02-08,2021.0,2.0,8.0,8353.0
