Date.1,year,month,day,"product1 country1, EXW"
2020-09-23,2020.0,9.0,23.0,1010.91444
2020-09-22,2020.0,9.0,22.0,1012.36016
2020-09-21,2020.0,9.0,21.0,1023.41604
2020-09-18,2020.0,9.0,18.0,1031.66832
2020-09-17,2020.0,9.0,17.0,1029.28658
2020-09-16,2020.0,9.0,16.0,1036.72476
2020-09-15,2020.0,9.0,15.0,1041.57852
2020-09-14,2020.0,9.0,14.0,1040.26752
2020-09-11,2020.0,9.0,11.0,1027.9624
2020-09-10,2020.0,9.0,10.0,1042.608
2020-09-09,2020.0,9.0,9.0,1051.54032
2020-09-08,2020.0,9.0,8.0,1055.476
2020-09-07,2020.0,9.0,7.0,1057.814
2020-09-04,2020.0,9.0,4.0,1053.0921
2020-09-03,2020.0,9.0,3.0,1052.44994
2020-09-02,2020.0,9.0,2.0,1044.9462
2020-09-01,2020.0,9.0,1.0,1046.3994
2020-08-31,2020.0,8.0,31.0,1043.40996
2020-08-28,2020.0,8.0,28.0,1026.38074
2020-08-27,2020.0,8.0,27.0,1019.9044
2020-08-26,2020.0,8.0,26.0,1023.41404
2020-08-25,2020.0,8.0,25.0,1019.6835
2020-08-24,2020.0,8.0,24.0,1018.5582
2020-08-21,2020.0,8.0,21.0,1018.61958
2020-08-20,2020.0,8.0,20.0,1019.13108
2020-08-19,2020.0,8.0,19.0,1018.44908
2020-08-18,2020.0,8.0,18.0,1018.29222
2020-08-17,2020.0,8.0,17.0,1019.59476
2020-08-14,2020.0,8.0,14.0,1017.12552
2020-08-13,2020.0,8.0,13.0,1017.86424
2020-08-12,2020.0,8.0,12.0,1024.752
2020-08-11,2020.0,8.0,11.0,1023.45168
2020-08-10,2020.0,8.0,10.0,1018.35668
2020-08-07,2020.0,8.0,7.0,1026.13764
2020-08-06,2020.0,8.0,6.0,1028.17904
2020-08-05,2020.0,8.0,5.0,1024.97904
2020-08-04,2020.0,8.0,4.0,1013.8218
2020-08-03,2020.0,8.0,3.0,1012.81632
2020-07-31,2020.0,7.0,31.0,1005.0147
2020-07-30,2020.0,7.0,30.0,1000.35006
2020-07-29,2020.0,7.0,29.0,998.4632
2020-07-28,2020.0,7.0,28.0,995.7416
2020-07-27,2020.0,7.0,27.0,1002.14676
2020-07-24,2020.0,7.0,24.0,1007.72736
2020-07-23,2020.0,7.0,23.0,1009.56732
2020-07-22,2020.0,7.0,22.0,1010.11452
2020-07-21,2020.0,7.0,21.0,1004.235
2020-07-20,2020.0,7.0,20.0,1000.95088
2020-07-17,2020.0,7.0,17.0,1008.36912
2020-07-16,2020.0,7.0,16.0,1008.7715
2020-07-15,2020.0,7.0,15.0,1005.9712
2020-07-14,2020.0,7.0,14.0,1004.8696
2020-07-13,2020.0,7.0,13.0,1004.788
2020-07-10,2020.0,7.0,10.0,1001.3196
2020-07-09,2020.0,7.0,9.0,1002.38406
2020-07-08,2020.0,7.0,8.0,995.2361
2020-07-07,2020.0,7.0,7.0,988.2257
2020-07-06,2020.0,7.0,6.0,976.17788
2020-07-03,2020.0,7.0,3.0,969.82268
2020-07-02,2020.0,7.0,2.0,969.74324
2020-07-01,2020.0,7.0,1.0,969.18716
2020-06-30,2020.0,6.0,30.0,967.1112
2020-06-29,2020.0,6.0,29.0,970.7008
2020-06-24,2020.0,6.0,24.0,971.13904
2020-06-23,2020.0,6.0,23.0,979.389
2020-06-22,2020.0,6.0,22.0,978.04632
2020-06-19,2020.0,6.0,19.0,969.04152
2020-06-18,2020.0,6.0,18.0,963.963
2020-06-17,2020.0,6.0,17.0,967.30046
2020-06-16,2020.0,6.0,16.0,967.10186
